Cat,Item Number,Description,Cost,Supplier,Barcode Number,List,Last Cost,Cost at 3/9/2026,In Stock
228,816V-BOX,15A 250v Single Receptacle 6-15R Ivory,1.38,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,2.75,1.38,1.38,1.0
228,816W-BOX,15A 250v Single Receptacle 6-15R White,1.5,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,2.75,0.0,0.0,0.0
228,817B-BOX,15A 125v Single Receptacle 5-15R Brown,1.144,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,2.75,1.144,1.144,66.0
228,817V-BOX,15A 125v Single Receptacle 5-15R Ivory,1.144,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,2.75,1.144,1.144,79.0
228,817W-BOX,15A 125v Single Receptacle 5-15R White,1.24,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,2.5,1.24,1.24,3.0
228,8460N,60A 250V 3P 4W Rec Nema 15-60R,66.69,"Eagle Electric MFG CO., INC.- Cooper Wiring Device",,75.0,66.69,66.69,2.0
228,TR1877W-NAI,NAI 20A 125v Tamper Resistant Single Rec with Auto Ground 5-20R White Cooper,2.49,NA Industries International Corp,,4.75,2.49,2.49,50.0
232,3BX,Open/Close/Stop Control Nema4 Exterior Surface Mount,59.6,Relay and Control Corp.,,89.5,,,0.0
232,9575H3H000,"Power Relay, Open Type, 40 Amp @ 300V AC, 5 Amp @ 480/600V AC, DPDT, 277V AC Coil",120.87,Relay and Control Corp.,,157.0,120.87,120.87,1.0
232,PBC-3,Open/Close/Stop Control Nema1 with Stainless Steel Plate,28.95,Relay and Control Corp.,,43.5,,,0.0
232,RC122,8 Pin Octal Base Relay Socket Din Rail,2.2,Relay and Control Corp.,,6.000000000000001,2.2,2.2,3.0
232,RC123,11 Pin Octal Base Relay Socket Din Rail,3.97,Relay and Control Corp.,,8.0,,,0.0
232,RCRP1CAC12,Cube Relay 8 Pin 10 Amp Spdt 12 Vac Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CAC120,Cube Relay 8 Pin 10 Amp Spdt 120 Vac Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CAC24,Cube Relay 8 Pin 10 Amp Spdt 24 Vac Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CAC6,Cube Relay 8 Pin 10 Amp Spdt 6 Vac Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CDC110,Cube Relay 8 Pin 10 Amp Spdt 110Vdc Coil,8.98,Relay and Control Corp.,,14.5,,,0.0
232,RCRP1CDC12,Cube Relay 8 Pin 10 Amp Spdt 12 Vdc Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CDC24,Cube Relay 8 Pin 10 Amp Spdt 24 Vdc Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP1CDC6,Cube Relay 8 Pin 10 Amp Spdt 6 Vdc Coil,8.11,Relay and Control Corp.,,13.0,,,0.0
232,RCRP2CAC12,Cube Relay 8 Pin 10 Amp Dpdt 12Vac Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP2CAC120,Cube Relay 8 Pin 10 Amp Dpdt 120Vac Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP2CAC24,Cube Relay 8 Pin 10 Amp Dpdt 24 Vac Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP2CAC240,Cube Relay 8 Pin 10 Amp Dpdt 240 Vac Coil,9.57,Relay and Control Corp.,,15.5,,,0.0
232,RCRP2CAC6,Cube Relay 8 Pin 10 Amp Dpdt 6 Vac Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP2CDC110,Cube Relay 8 Pin 10 Amp Dpdt 110 Vdc Coil,9.87,Relay and Control Corp.,,16.0,,,0.0
232,RCRP2CDC12,Cube Relay 8 Pin 10 Amp Dpdt 12Vdc Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP2CDC24,Cube Relay 8 Pin 10 Amp Dpdt 24 Vdc Coil,9.05,Relay and Control Corp.,,20.0,0.0,0.0,0.0
232,RCRP2CDC48,Cube Relay 8 Pin 10 Amp Dpdt 48 Vdc Coil,9.57,Relay and Control Corp.,,15.5,,,0.0
232,RCRP2CDC6,Cube Relay 8 Pin 10 Amp Dpdt 6 Vdc Coil,9.05,Relay and Control Corp.,,14.499999999999998,,,0.0
232,RCRP3CAC12,Cube Relay 11 Pin 10 Amp 3Pdt 12 Vac Coil,11.14,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CAC120,Cube Relay 11 Pin 10 Amp 3Pdt 120 Vac Coil,11.14,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CAC24,Cube Relay 11 Pin 10 Amp 3Pdt 24 Vac Coil,11.14,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CAC240,Cube Relay 11 Pin 10 Amp 3Pdt 240 Vac Coil,11.84,Relay and Control Corp.,,19.0,,,0.0
232,RCRP3CAC6,Cube Relay 11 Pin 10 Amp 3Pdt 6 Vac Coil,11.14,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CDC110,Cube Relay 11 Pin 10 Amp 3Pdt 110 Vdc Coil,12.0,Relay and Control Corp.,,19.5,,,0.0
232,RCRP3CDC12,Cube Relay 11 Pin 10 Amp 3Pdt 12 Vdc Coil,11.09,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CDC24,Cube Relay 11 Pin 10 Amp 3Pdt 24 Vdc Coil,11.09,Relay and Control Corp.,,18.0,,,0.0
232,RCRP3CDC48,Cube Relay 11 Pin 10 Amp 3Pdt 48 Vdc Coil,11.69,Relay and Control Corp.,,19.0,,,0.0
232,RCRP3CDC6,Cube Relay 11 Pin 10 Amp 3Pdt 6 Vdc Coil,11.09,Relay and Control Corp.,,18.0,,,0.0
234,RX102,250' x 10-2 NM-B Romex Cable,264.1175,Encore Wire Corporation,,330.00000000000006,103.99,103.99,0.0
234,RX103,250' x 10-3 NM-B Romex Cable,245.3125,Encore Wire Corporation,,360.0,245.3125,245.3125,2.0
234,RX103F,1' x 10-3 NM-B Romex Cable,0.9659,,,2.5,0.9659,0.9659,196.0
234,RX103REEL,1000' x 10-3 NM-B Romex Cable,1325.49,Encore Wire Corporation,,1800.0,593.12,593.12,0.0
234,RX104,250' x 10-4 NM-B Romex Cable,481.25,Encore Wire Corporation,,675.0,,,0.0
234,RX122,250' x 12-2 NM-B Romex Cable,93.355,Encore Wire Corporation,,140.0,93.355,93.355,8.0
234,RX122F,1' x 12-2 NM-B Romex Cable,0.3734,,,0.75,0.3734,0.3734,342.0
234,RX122REEL,1000' x 12-2 NM-B Romex Cable,451.64,Encore Wire Corporation,,800.0,131.77,131.77,0.0
234,RX123,250' x 12-3 NM-B Romex Cable,123.7975,Encore Wire Corporation,,250.0,123.7975,123.7975,2.0
234,RX123F,1' x 12-3 NM-B Romex Cable,0.4253,,,1.25,0.4253,0.4253,36.0
234,RX123REEL,1000' x 12-3 NM-B Romex Cable,840.7,Encore Wire Corporation,,1000.0,425.32,425.32,0.0
234,RX124,250' x 12-3 NM-B Romex Cable,310.83,Encore Wire Corporation,,380.0,,,0.0
234,RX142,250' x 14-2 NM-B Romex Cable(White),65.668,Encore Wire Corporation,,100.0,76.23,76.23,10.0
234,RX142F,1' x 14-2 NM-B Romex Cable,0.3049,,,0.65,0.3049,0.3049,37.0
234,RX143,250' x 14-3 NM-B Romex Cable(White),93.2725,Encore Wire Corporation,,125.0,93.2725,93.2725,2.0
234,RX144,250' x 14-4 NM-B Romex Cable,201.535,Encore Wire Corporation,,275.0,,,0.0
234,RX23,500' x 2-3 NM-B Romex Cable,3022.74,Encore Wire Corporation,,4535.0,,,0.0
234,RX43,500' x 4-3 NM-B Romex Cable,2019.335,Encore Wire Corporation,,3030.0,,,0.0
234,RX62,500' x 6-2 NM-B Romex Cable,589.675,Encore Wire Corporation,,885.0,,,0.0
234,RX63,500' x 6-3 NM-B Romex Cable,888.56,Encore Wire Corporation,,1333.0,,,0.0
234,RX82,500' x 8-2 NM-B Romex Cable,417.51,Encore Wire Corporation,,626.5,,,0.0
234,RX83,500' x 8-3 NM-B Romex Cable,608.025,Encore Wire Corporation,,912.0,,,0.0
234,RX83F,1' x 8-3 NM-B Romex Cable,1.2161,,,3.5,,,5.0
236,10227,Fire Alarm Speaker Strobe,0.0,Cooper B-Line,,80.0,0.0,0.0,3.0
236,96-3258-4,Replacement Pull Out for AC Pull Box Eaton,2.64,Eaton Corporation,,4.0,0.0,0.0,0.0
236,DG221NGB,30A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,52.87,Eaton Corporation,,83.0,52.87,52.87,5.0
236,DG221NGBLORED,30A 2P 3W 120/240v Fused Fire Alarm Cut Off Switch Box NYC Approved,122.11,Eaton Corporation,,185.0,122.11,122.11,0.0
236,DG221NRB,30A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,52.720000000000006,Eaton Corporation,,121.0,52.72,52.72,9.0
236,DG221UGB,30A 2P 2W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,49.95,Eaton Corporation,,78.0,49.95,49.95,6.0
236,DG221URB,30A 2P 2W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,64.29,Eaton Corporation,,102.0,64.29,64.29,9.0
236,DG222NGB,60A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,68.64,Eaton Corporation,,105.0,68.64,68.64,3.0
236,DG222NRB,60A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,127.29,Eaton Corporation,,189.0,127.29,127.29,2.0
236,DG222UGB,60A 2P 2W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,65.19,Eaton Corporation,,99.0,64.64,64.64,0.0
236,DG222URB,60A 2P 2W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,113.58,Eaton Corporation,,170.0,113.58,113.58,0.0
236,DG223NGB,100A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,135.56,Eaton Corporation,,240.0,97.62,97.62,1.0
236,DG223NRB,100A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,79.56,Eaton Corporation,,270.0,79.56,79.56,2.0
236,DG223UGB,100A 2P 2W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,151.44,Eaton Corporation,,235.0,151.44,151.44,2.0
236,DG223URB,100A 2P 2W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,162.54,Eaton Corporation,,230.0,0.0,0.0,0.0
236,DG224NGK,200A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,321.85,Eaton Corporation,,485.0,182.49,182.49,0.0
236,DG224NRK,200A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,437.14,Eaton Corporation,,590.0,198.93,198.93,0.0
236,DG225NGK,400A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,896.06,Eaton Corporation,,1200.0,,,0.0
236,DG225NRK,400A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,1272.86,Eaton Corporation,,1720.0,,,0.0
236,DG226NGK,600A 2P 3W 120/240v Fused General Duty Safety Switch 1R Eaton,799.45,Eaton Corporation,,2450.0,799.45,799.45,1.0
236,DG226NRK,600A 2P 3W 120/240v Fused General Duty Safety Switch 3R Eaton,1063.66,Eaton Corporation,,3140.0,1063.66,1063.66,1.0
236,DG321NGB,30A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,45.8,Eaton Corporation,,82.0,56.07,56.07,2.0
236,DG321NGBLORED,30A 3P 4W 120/240v Fused Fire Alarm Cut Off Switch Box NYC Approved,77.26,Eaton Corporation,,220.0,77.26,77.26,1.0
236,DG321NRB,30A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,54.06,Eaton Corporation,,125.0,54.06,54.06,4.0
236,DG321UGB,30A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,50.307100000000005,Eaton Corporation,,78.0,52.25,52.25,7.0
236,DG321URB,30A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,91.3809,Eaton Corporation,,145.0,96.78,96.78,11.0
236,DG322NGB,60A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,103.0,Eaton Corporation,,162.0,103.0,103.0,1.0
236,DG322NGBLORED,60A 3P 4W 120/240v Fused Fire Alarm Cut Off Switch Box NYC Approved,295.89,Eaton Corporation,,445.0,113.0,113.0,0.0
236,DG322NRB,60A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,126.23,Eaton Corporation,,230.0,126.23,126.23,4.0
236,DG322UGB,60A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,69.0,Eaton Corporation,,109.0,69.0,69.0,3.0
236,DG322URB,60A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,140.93,Eaton Corporation,,210.0,145.83,145.83,4.0
236,DG323NGB,100A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,182.0233,Eaton Corporation,,280.0,186.63,186.63,3.0
236,DG323NGBLORED,100A 3P 4W 120/240v Fused Fire Alarm Cut Off Switch Box NYC Approved,244.39,Eaton Corporation,,337.0,132.67,132.67,0.0
236,DG323NRB,100A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,140.95000000000002,Eaton Corporation,,370.0,142.9,142.9,2.0
236,DG323UGB,100A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,138.18,Eaton Corporation,,208.0,138.18,138.18,2.0
236,DG323URB,100A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,210.255,Eaton Corporation,,348.0,231.75,231.75,4.0
236,DG324NGK,200A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,442.38,Eaton Corporation,,620.0,442.38,442.38,4.0
236,DG324NRK,200A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,261.02000000000004,Eaton Corporation,,609.0,261.02,261.02,1.0
236,DG324UGK,200A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,245.91,Eaton Corporation,,370.0,148.13,148.13,0.0
236,DG324URK,200A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,211.22,Eaton Corporation,,609.0,0.0,0.0,1.0
236,DG325NGK,400A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,1020.1,Eaton Corporation,,1485.0,1020.1,1020.1,1.0
236,DG325NRK,400A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,580.0333,Eaton Corporation,,2010.0,524.98,524.98,3.0
236,DG325UGK,400A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,349.22,Eaton Corporation,,1150.0,349.22,349.22,2.0
236,DG325URK,400A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,549.5,Eaton Corporation,,1820.0,549.5,549.5,1.0
236,DG326NGK,600A 3P 4W 120/240v Fused General Duty Safety Switch 1R Eaton,1912.33,Eaton Corporation,,2875.0,841.18,841.18,0.0
236,DG326NRK,600A 3P 4W 120/240v Fused General Duty Safety Switch 3R Eaton,2780.56,Eaton Corporation,,3900.0,1262.25,1262.25,0.0
236,DG326UGK,600A 3P 3W 120/240v Non-Fused General Duty Safety Switch 1R Eaton,659.74,Eaton Corporation,,2025.0,659.74,659.74,2.0
236,DG326URK,600A 3P 3W 120/240v Non-Fused General Duty Safety Switch 3R Eaton,2344.54,Eaton Corporation,,3150.0,1063.66,1063.66,0.0
236,DH321NGK,30A 3P 4W 240v Fused Heavy Duty Safety Switch 1R Eaton,163.13,Eaton Corporation,,250.0,163.13,163.13,1.0
236,DH321NRK,30A 3P 4W 240v Fused Heavy Duty Safety Switch 3R Eaton,0.0,Eaton Corporation,,0.0,,,0.0
236,DH321NWK,30A 3P 4W 240v Fused Heavy Duty Stainless Steel Safety Switch 4X Eaton,1011.6,Eaton Corporation,,1400.0,,,0.0
236,DH322NGK,60A 3P 4W 240v Fused Heavy Duty Safety Switch 1R Eaton,177.31,Eaton Corporation,,290.0,177.31,177.31,1.0
236,DH322NWK,60A 3P 4W 240v Fused Heavy Duty Stainless Steel Safety Switch 4X Eaton,1223.2,Eaton Corporation,,1700.0,,,0.0
236,DH323NGK,100A 3P 4W 240v Fused Heavy Duty Safety Switch 1R Eaton,270.0,Eaton Corporation,,492.0,270.0,270.0,2.0
